window_id,window_start,window_end,window_center,window_W_seconds,window_stride_seconds,Tde_global_p99_ms_all,Tde_count,Tde_mean_ms,Tde_std_ms,Tde_max_ms,Tde_p95_ms,Tde_p99_ms,Tde_q1_ms,Tde_q3_ms,Tde_iqr_ms,Tde_tail_ratio_p99_mean,Tde_tail_exceed_rate,Tde_winsorized_mean_ms_p95cap,Tis_global_p99_ms_all,Tis_count,Tis_mean_ms,Tis_std_ms,Tis_max_ms,Tis_p95_ms,Tis_p99_ms,Tis_q1_ms,Tis_q3_ms,Tis_iqr_ms,Tis_tail_ratio_p99_mean,Tis_tail_exceed_rate,Tis_winsorized_mean_ms_p95cap,split,Tde_global_p99_ms_train,Tis_global_p99_ms_train
405,2025-05-29 02:21:23.347167,2025-05-29 02:26:23.347167,2025-05-29 02:23:53.347167,300,30,0.14247,40,0.073125,0.019592237473825425,0.12,0.09849999999999998,0.11531999999999999,0.053,0.088,0.034999999999999996,1.577025641025641,0.0,0.07235,2331.46382,40,827.9861500000001,233.5049365364681,1203.833,1130.1298499999998,1203.82364,619.522,1007.8565,388.33449999999993,1.453917604781191,0.0,824.3015925,test,0.14673,1965.2991199999994
406,2025-05-29 02:21:53.347167,2025-05-29 02:26:53.347167,2025-05-29 02:24:23.347167,300,30,0.14247,40,0.07392499999999999,0.022440105466181158,0.132,0.11239999999999999,0.12732,0.053,0.08825,0.03525,1.7222861007778154,0.0,0.07324499999999999,2331.46382,40,851.4039,232.81695750764797,1203.833,1130.1298499999998,1203.82364,647.4622499999999,1050.527,403.0647500000001,1.4139277961963763,0.0,847.7193424999999,test,0.14673,1965.2991199999994
407,2025-05-29 02:22:23.347167,2025-05-29 02:27:23.347167,2025-05-29 02:24:53.347167,300,30,0.14247,42,0.0723095238095238,0.021660898901733665,0.132,0.11124999999999993,0.12420999999999993,0.053,0.088,0.034999999999999996,1.717754362858083,0.0,0.07175595238095236,2331.46382,40,849.0728750000001,230.67509221849164,1203.833,1130.1298499999998,1203.82364,647.4622499999999,1013.6795,366.21725000000004,1.4178095608106664,0.0,845.3883174999999,test,0.14673,1965.2991199999994
408,2025-05-29 02:22:53.347167,2025-05-29 02:27:53.347167,2025-05-29 02:25:23.347167,300,30,0.14247,40,0.071875,0.023239210344499606,0.132,0.11205,0.12458999999999999,0.051,0.089,0.038,1.7334260869565217,0.0,0.0713525,2331.46382,40,868.951625,223.38903487743337,1203.833,1130.1298499999998,1203.82364,657.95775,1013.6795,355.72174999999993,1.3853747497163609,0.0,865.2670675000002,test,0.14673,1965.2991199999994
409,2025-05-29 02:23:23.347167,2025-05-29 02:28:23.347167,2025-05-29 02:25:53.347167,300,30,0.14247,40,0.0741,0.022881859347078575,0.132,0.11205,0.12458999999999999,0.053,0.0895,0.0365,1.6813765182186233,0.0,0.07357749999999999,2331.46382,40,886.8820250000001,222.13572264692402,1203.833,1149.5174499999998,1203.82364,769.98575,1013.6795,243.6937499999999,1.3573661502498033,0.0,884.1668475,test,0.14673,1965.2991199999994
410,2025-05-29 02:23:53.347167,2025-05-29 02:28:53.347167,2025-05-29 02:26:23.347167,300,30,0.14247,40,0.072175,0.02260688288654926,0.132,0.11205,0.12458999999999999,0.053,0.08825,0.03525,1.726220990647731,0.0,0.07165250000000001,2331.46382,40,918.619875,238.70978446181147,1244.598,1205.87005,1244.58864,839.9285,1088.7962499999999,248.8677499999999,1.3548461925015503,0.0,916.6840775000001,test,0.14673,1965.2991199999994
411,2025-05-29 02:24:23.347167,2025-05-29 02:29:23.347167,2025-05-29 02:26:53.347167,300,30,0.14247,40,0.074475,0.02230555582165171,0.132,0.11205,0.12458999999999999,0.05475,0.0895,0.034749999999999996,1.6729103726082577,0.0,0.0739525,2331.46382,40,955.5001,264.56314755226015,1680.521,1266.3935499999986,1680.51632,839.9285,1088.7962499999999,248.8677499999999,1.7587819404728477,0.0,934.7940274999999,test,0.14673,1965.2991199999994
412,2025-05-29 02:24:53.347167,2025-05-29 02:29:53.347167,2025-05-29 02:27:23.347167,300,30,0.14247,40,0.073175,0.02228934147949965,0.132,0.11205,0.12458999999999999,0.05475,0.08875,0.033999999999999996,1.702630679877007,0.0,0.07265250000000001,2331.46382,40,977.53025,259.1654585779824,1680.521,1269.0079499999986,1680.51632,852.2492500000001,1111.06475,258.81549999999993,1.7191450801650383,0.0,956.9548975,test,0.14673,1965.2991199999994
413,2025-05-29 02:25:23.347167,2025-05-29 02:30:23.347167,2025-05-29 02:27:53.347167,300,30,0.14247,40,0.07189999999999999,0.0217924945913225,0.132,0.11205,0.12458999999999999,0.05475,0.08725,0.032499999999999994,1.7328233657858136,0.0,0.07137750000000001,2331.46382,40,984.4585999999999,253.13547279990368,1680.521,1269.0079499999986,1680.51632,868.1270000000001,1111.06475,242.93774999999994,1.707046207936017,0.0,963.8832474999999,test,0.14673,1965.2991199999994
414,2025-05-29 02:25:53.347167,2025-05-29 02:30:53.347167,2025-05-29 02:28:23.347167,300,30,0.14247,40,0.071375,0.022910850077682655,0.132,0.11205,0.12458999999999999,0.05375,0.09125,0.0375,1.745569176882662,0.0,0.0708525,2331.46382,40,979.4176,244.9597742909158,1680.521,1269.0079499999986,1680.51632,868.1270000000001,1088.7962499999999,220.6692499999998,1.7158322660323848,0.0,958.8422475,test,0.14673,1965.2991199999994
415,2025-05-29 02:26:23.347167,2025-05-29 02:31:23.347167,2025-05-29 02:28:53.347167,300,30,0.14247,40,0.073825,0.023297284424122516,0.132,0.11205,0.12458999999999999,0.05475,0.09225,0.0375,1.6876396884524212,0.0,0.0733025,2331.46382,40,981.9558249999998,236.228686305853,1680.521,1269.0079499999986,1680.51632,868.1270000000001,1077.4427500000002,209.3157500000001,1.7113970681929611,0.0,961.3804724999998,test,0.14673,1965.2991199999994
416,2025-05-29 02:26:53.347167,2025-05-29 02:31:53.347167,2025-05-29 02:29:23.347167,300,30,0.14247,40,0.073875,0.02098007296313484,0.113,0.10419999999999999,0.11105,0.0555,0.09225,0.03675,1.5032148900169204,0.0,0.07356,2331.46382,40,971.1858499999998,241.4092048740595,1680.521,1269.0079499999986,1680.51632,769.2057500000001,1084.7215,315.51575,1.73037562275027,0.0,950.6104974999998,test,0.14673,1965.2991199999994
417,2025-05-29 02:27:23.347167,2025-05-29 02:32:23.347167,2025-05-29 02:29:53.347167,300,30,0.14247,40,0.07705,0.0235611044101426,0.15,0.10839999999999998,0.13673999999999997,0.059,0.09225,0.03325,1.7746917585983126,0.025,0.07582,2331.46382,40,1073.752125,459.7222723220879,2744.651,1733.726049999997,2744.63969,769.2057500000001,1160.3175,391.11175000000003,2.556120380204137,0.05,1023.2066024999998,test,0.14673,1965.2991199999994
418,2025-05-29 02:27:53.347167,2025-05-29 02:32:53.347167,2025-05-29 02:30:23.347167,300,30,0.14247,40,0.078325,0.02242181572738525,0.15,0.10839999999999998,0.13673999999999997,0.06075,0.092,0.03125,1.745802744972869,0.025,0.077095,2331.46382,40,1112.40745,466.27376927904675,2744.651,1733.726049999997,2744.63969,769.2057500000001,1212.11775,442.9119999999998,2.4672971131216355,0.05,1061.8619274999996,test,0.14673,1965.2991199999994
419,2025-05-29 02:28:23.347167,2025-05-29 02:33:23.347167,2025-05-29 02:30:53.347167,300,30,0.14247,40,0.07685,0.02294871651625837,0.15,0.10839999999999998,0.13673999999999997,0.06,0.092,0.032,1.7793103448275858,0.025,0.07561999999999999,2331.46382,40,1114.11305,467.21835747577,2744.651,1733.726049999997,2744.63969,769.2057500000001,1215.75675,446.55099999999993,2.463519918378122,0.05,1063.5675274999999,test,0.14673,1965.2991199999994
420,2025-05-29 02:28:53.347167,2025-05-29 02:33:53.347167,2025-05-29 02:31:23.347167,300,30,0.14247,40,0.07825,0.022990243192521517,0.15,0.10839999999999998,0.13673999999999997,0.06,0.093,0.033,1.7474760383386578,0.025,0.07702,2331.46382,40,1102.9632,467.3025076684706,2744.651,1733.726049999997,2744.63969,769.2057500000001,1202.50775,433.3019999999999,2.488423630090288,0.05,1052.4176775,test,0.14673,1965.2991199999994
